日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/10/18,臺股期貨,投信,815,2689924,1183,3900055,-368,-1210130,12699,41825426,11322,37290139,1377,4535287
2023/10/18,臺股期貨,外資及陸資,70241,232733097,76732,254206757,-6491,-21473660,23137,76204431,31303,103099918,-8166,-26895487
2023/10/19,臺股期貨,自營商,7413,24371402,7922,26048580,-509,-1677178,3431,11295939,5810,19126430,-2379,-7830491
2023/10/19,臺股期貨,投信,230,757181,1,3292,229,753890,12929,42564854,11323,37277581,1606,5287273
2023/10/19,臺股期貨,外資及陸資,61166,201093895,58306,191682772,2860,9411123,23404,77050991,28710,94519339,-5306,-17468348
2023/10/20,臺股期貨,自營商,11943,39180400,12120,39751080,-177,-570680,4818,15817364,7301,23966588,-2483,-8149224
2023/10/20,臺股期貨,投信,574,1884546,333,1091801,241,792746,13176,43254173,11329,37190841,1847,6063332
2023/10/20,臺股期貨,外資及陸資,87907,288770125,87191,286379249,716,2390877,22875,75094357,27454,90126369,-4579,-15032012
2023/10/23,臺股期貨,自營商,8314,27133564,7970,26008937,344,1124627,5554,18057824,7885,25634384,-2331,-7576560
2023/10/23,臺股期貨,投信,296,963100,254,826337,42,136763,13368,43462042,11479,37320525,1889,6141517
2023/10/23,臺股期貨,外資及陸資,60209,196664035,65046,212459013,-4837,-15794978,23304,75766253,33783,109836360,-10479,-34070107
2023/10/24,臺股期貨,自營商,10999,35762850,11001,35776952,-2,-14101,5741,18754257,8142,26594844,-2401,-7840587
2023/10/24,臺股期貨,投信,505,1647327,0,0,505,1647327,13765,44964749,11371,37144509,2394,7820240
2023/10/24,臺股期貨,外資及陸資,81231,264072604,82649,268647021,-1418,-4574417,22825,74560314,34722,113423499,-11897,-38863185
2023/10/25,臺股期貨,自營商,10712,35134185,10733,35194581,-21,-60396,5769,18874561,8283,27096428,-2514,-8221867
2023/10/25,臺股期貨,投信,269,880866,69,226240,200,654626,13844,45292030,11250,36805500,2594,8486530
2023/10/25,臺股期貨,外資及陸資,64098,210155668,60376,197947255,3722,12208414,22014,72021097,30191,98773313,-8177,-26752216
2023/10/26,臺股期貨,自營商,12596,40677034,11736,37916174,860,2760860,6249,20079765,8204,26358821,-1955,-6279056
2023/10/26,臺股期貨,投信,304,976902,714,2295365,-410,-1318463,13760,44213632,11576,37196003,2184,7017629
2023/10/26,臺股期貨,外資及陸資,77856,251852606,82051,265367225,-4195,-13514618,23165,74434019,35549,114227376,-12384,-39793357
2023/10/27,臺股期貨,自營商,9125,29464510,8958,28915278,167,549232,5116,16527015,6840,22092777,-1724,-5565762
2023/10/27,臺股期貨,投信,172,555635,13,41997,159,513639,13814,44624746,11471,37055918,2343,7568828
2023/10/27,臺股期貨,外資及陸資,70058,226063067,66813,215589048,3245,10474019,21160,68355324,30302,97887914,-9142,-29532590
2023/10/30,臺股期貨,自營商,8595,27759542,8160,26363006,435,1396536,5782,18688018,7086,22898969,-1304,-4210951
2023/10/30,臺股期貨,投信,48,155329,5,16154,43,139175,13845,44747040,11459,37035488,2386,7711552
2023/10/30,臺股期貨,外資及陸資,63436,204923081,66784,215721621,-3348,-10798540,20899,67545991,33382,107892910,-12483,-40346919
2023/10/31,臺股期貨,自營商,11106,35777320,10307,33193378,799,2583942,6121,19584199,6758,21619407,-637,-2035208
2023/10/31,臺股期貨,投信,113,363113,391,1250724,-278,-887610,13853,44321288,11745,37576953,2108,6744335
2023/10/31,臺股期貨,外資及陸資,67774,218499481,70588,227574618,-2814,-9075137,22035,70499305,37332,119442614,-15297,-48943309
2023/11/01,臺股期貨,自營商,9952,31948316,10266,32963700,-314,-1015384,5697,18287995,6725,21584558,-1028,-3296563
2023/11/01,臺股期貨,投信,795,2553202,11,35312,784,2517890,14326,45986460,11434,36703140,2892,9283320
2023/11/01,臺股期貨,外資及陸資,63517,203905673,61616,197796544,1901,6109129,22643,72684537,36039,115687865,-13396,-43003328
2023/11/02,臺股期貨,自營商,8463,27553753,9713,31625077,-1250,-4071325,6640,21765827,8886,29122527,-2246,-7356700
2023/11/02,臺股期貨,投信,762,2496745,33,108147,729,2388599,14555,47708379,10934,35839465,3621,11868914
2023/11/02,臺股期貨,外資及陸資,61688,200538463,55024,178843784,6664,21694679,27055,88681081,30959,101478563,-3904,-12797482
2023/11/03,臺股期貨,自營商,8758,28858507,9295,30639258,-537,-1780751,6831,22561923,9516,31424216,-2685,-8862293
2023/11/03,臺股期貨,投信,442,1457062,97,320362,345,1136700,14624,48300147,10658,35201242,3966,13098905
2023/11/03,臺股期貨,外資及陸資,54772,180491583,51202,168701633,3570,11789950,28107,92831732,27445,90644922,662,2186810
2023/11/06,臺股期貨,自營商,9552,31777756,10658,35474595,-1106,-3696838,6737,22463225,10426,34759120,-3689,-12295895
2023/11/06,臺股期貨,投信,1104,3682801,74,246732,1030,3436069,15628,52113129,10632,35453467,4996,16659662
2023/11/06,臺股期貨,外資及陸資,62650,208534653,58582,194996813,4068,13537840,32334,107820478,26662,88904424,5672,18916054
2023/11/07,臺股期貨,自營商,7253,24174819,7593,25312789,-340,-1137970,6633,22163529,10597,35404190,-3964,-13240661
2023/11/07,臺股期貨,投信,558,1864235,195,650875,363,1213360,15981,53402068,10622,35494475,5359,17907593
2023/11/07,臺股期貨,外資及陸資,47897,159667995,45630,152104168,2267,7563827,35981,120232917,28039,93692745,7942,26540172
2023/11/08,臺股期貨,自營商,11283,37767532,9790,32782266,1493,4985266,6473,21686398,8820,29543435,-2347,-7857037
2023/11/08,臺股期貨,投信,231,774047,50,167496,181,606551,16160,54142418,10619,35577898,5541,18564520
2023/11/08,臺股期貨,外資及陸資,50769,169991592,53243,178255978,-2474,-8264386,36402,121960058,30934,103639689,5468,18320369
2023/11/09,臺股期貨,自營商,6866,22985460,6796,22756389,70,229071,6351,21291613,8619,28888599,-2268,-7596986
2023/11/09,臺股期貨,投信,428,1435110,550,1844128,-122,-409018,15688,52595476,10269,34427807,5419,18167669
2023/11/09,臺股期貨,外資及陸資,45698,153016770,46081,154286531,-383,-1269762,39350,131922104,34265,114874006,5085,17048098
2023/11/10,臺股期貨,自營商,13326,44514370,12649,42271486,677,2242884,7174,24007776,8751,29284710,-1577,-5276934
2023/11/10,臺股期貨,投信,549,1834043,1154,3857701,-605,-2023658,15241,51003542,10427,34893220,4814,16110322
2023/11/10,臺股期貨,外資及陸資,69096,230965768,65460,218801804,3636,12163965,41170,137787214,32449,108597873,8721,29189341
2023/11/13,臺股期貨,自營商,17045,57605853,16484,55683063,561,1922789,5660,19102096,6749,22774824,-1089,-3672728
2023/11/13,臺股期貨,投信,14618,49350106,14492,48917305,126,432801,15104,50989248,10154,34278782,4950,16710466
2023/11/13,臺股期貨,外資及陸資,84199,284347047,89788,303259568,-5589,-18912521,38773,130889372,35641,120314986,3132,10574386
2023/11/14,臺股期貨,自營商,10926,37015985,13912,47148910,-2986,-10132925,4827,16363971,9359,31741822,-4532,-15377851
2023/11/14,臺股期貨,投信,9458,32086491,9849,33405365,-391,-1318874,14604,49559754,10045,34088592,4559,15471162
2023/11/14,臺股期貨,外資及陸資,66340,224796905,64234,217656408,2106,7140497,42849,145368642,37611,127597266,5238,17771376
2023/11/15,臺股期貨,自營商,19034,65201645,19750,67646177,-716,-2444532,2100,7206938,7907,27129701,-5807,-19922763
2023/11/15,臺股期貨,投信,497,1704979,1162,3986229,-665,-2281250,13707,47039683,9813,33676253,3894,13363430
