日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/11/07,小型臺指期貨,自營商,9079,7563320,9266,7717543,-187,-154224,9592,8011107,15342,12810285,-5750,-4799178
2023/11/07,小型臺指期貨,投信,0,0,0,0,0,0,170,142018,9,7519,161,134499
2023/11/07,小型臺指期貨,外資及陸資,67609,56342156,64267,53550291,3342,2791866,19222,16057807,2125,1774247,17097,14283560
2023/11/08,小型臺指期貨,自營商,12798,10708476,11052,9248534,1746,1459942,10972,9188329,14060,11772096,-3088,-2583767
2023/11/08,小型臺指期貨,投信,42,35178,38,31825,4,3352,173,144899,8,6701,165,138198
2023/11/08,小型臺指期貨,外資及陸資,75160,62907555,75782,63411815,-622,-504260,18718,15678026,1471,1232105,17247,14445921
2023/11/09,小型臺指期貨,自營商,8856,7412490,7885,6599547,971,812943,11205,9389672,13358,11191591,-2153,-1801919
2023/11/09,小型臺指期貨,投信,8,6707,12,10051,-4,-3343,169,141638,8,6703,161,134935
2023/11/09,小型臺指期貨,外資及陸資,72561,60739567,71807,60098572,754,640996,19547,16382997,1546,1295731,18001,15087266
2023/11/10,小型臺指期貨,自營商,14151,11830134,14231,11890455,-80,-60320,11394,9535704,13683,11443696,-2289,-1907992
2023/11/10,小型臺指期貨,投信,4,3338,1,837,3,2501,173,144748,9,7533,164,137215
2023/11/10,小型臺指期貨,外資及陸資,82910,69313278,82341,68830391,569,482887,20320,17000465,1750,1464083,18570,15536382
2023/11/13,小型臺指期貨,自營商,17559,14828885,19145,16171607,-1586,-1342722,6088,5137792,9671,8155971,-3583,-3018179
2023/11/13,小型臺指期貨,投信,93,78540,102,86085,-9,-7546,164,138425,9,7597,155,130828
2023/11/13,小型臺指期貨,外資及陸資,91646,77373543,98889,83510454,-7243,-6136911,13864,11697831,2537,2140516,11327,9557315
2023/11/14,小型臺指期貨,自營商,10578,8958675,12233,10362848,-1655,-1404173,5242,4445501,8652,7329549,-3410,-2884048
2023/11/14,小型臺指期貨,投信,35,29686,34,28802,1,884,163,138289,7,5939,156,132350
2023/11/14,小型臺指期貨,外資及陸資,66393,56209435,63945,54136320,2448,2073115,15633,13251469,1858,1574625,13775,11676844
2023/11/15,小型臺指期貨,自營商,23347,19983290,22260,19055135,1087,928155,5384,4619495,5108,4378147,276,241348
2023/11/15,小型臺指期貨,投信,0,0,0,0,0,0,163,139846,7,6006,156,133840
2023/11/15,小型臺指期貨,外資及陸資,89239,76396906,87796,75154361,1443,1242544,7223,6196974,751,644319,6472,5552655
2023/11/16,小型臺指期貨,自營商,7312,6281453,7548,6485196,-236,-203743,6207,5334766,6347,5450124,-140,-115358
2023/11/16,小型臺指期貨,投信,0,0,2,1719,-2,-1719,163,140066,9,7734,154,132332
2023/11/16,小型臺指期貨,外資及陸資,83710,71933632,84687,72761449,-977,-827817,6601,5672265,1106,950398,5495,4721867
